Withdrawal Application No,Loan/Grant No,Type,Country,Executing Agency,Project Name,Sector,Regional Department,Disbursement Amount (USD),Currency,Date Received,Date Processed,Processing Days,SLA Target (Days),SLA Met,Status,Processing Officer,Division,Fiscal Year,Quarter
WA-2025-100446,LN-4446-MFF,Loan,INDONESIA,  Ministry of Energy  ,Girls Education Support Program,Energy,SERD,"$95,302.76",USD,08-07-2025,14/08/2025,7.0,7,Yes,Processed,D. Nishimoto,CTLA-LGD,2025,Q3 2025
WA-2025-100276,LN-4276-REG,Loan,Pakistan,  Rural Electrification Agency ,Agriculture Value Chain Development,Multisector,CWRD,586216.11,USD,17/04/2025,,,7,na,Pending,I. Mora,CTLA-LGD,2025,Q2 2025
WA-2025-100164,LN-4164-MFF,Loan,Uzbekistan,Ministry of Energy  ,Girls Education Support Program,"Agriculture, Food, Nature and Rural Development",CWRD,"1,025,342.32",USD,03-09-2025,,pending,7,-,Pending,E. Lazaro,CTLA-LGD,2025,Q1 2025
WA-2026-100163,GR-4163-SF,Grant,Sri Lanka,Rural Electrification Agency ,Regional Trade Facilitation,Energy,SARD,"73,231.49",USD,10-May-2025,,N/A,7,NA,Pending,V. Sefesi,CTLA-LGD,2025,Q2 2025
WA-2025-100462,LN-4462-REG,Loan,Sri Lanka, National Housing Authority ,Digital Government Transformation,Transport,SARD,"USD 2,440,533.06",USD,"Jul 13, 2025",,,7,-,Pending,S. Dhakal,CTLA-LGD,2025,Q3 2025
WA-2026-100231,LN-4231-REG,Loan,bangladesh,  National Housing Authority,Girls Education Support Program,Health,SARD,878831.33,USD,03/01/2026,"Jan 22, 2026",19.0,7,No,Processed,A. Asuncion,CTLA-LGD,2026,Q1 2026
WA-2025-100130,LN-4130-SF,Loan,Sri Lanka,Central Bank  ,Solar Power Generation Project,Health,SARD,44737.57,USD,03-29-2026,06-Apr-2026,8.0,7,FALSE,Processed,R. Dadufalza,CTLA-LGD,2026,Q1 2026
WA-2026-100371,TA-4371-MFF,TA,Kyrgyz Republic, Ministry of Energy  ,Smart City Development,Water and Urban Development,CWRD,"39,981.58",USD,10/07/2025,28-Jul-2025,18.0,7,N,Processed,M. Akram,CTLA-TA,2025,Q3 2025
WA-2025-100262,LN-4262-SF,Loan,Cambodia, National Road Authority  ,Sanitation Improvement Project,Multisector,SERD,"118,000.21",USD,14/05/2026,05-17-2026,3.0,7,yes,Processed,,CTLA-LGD,2026,Q2 2026
WA-2025-100300,GR-4300-REG,Grant,Kyrgyz Republic, Provincial Government ,Girls Education Support Program,"Agriculture, Food, Nature and Rural Development",CWRD,"$281,109.55",USD,2026-04-29,"May 02, 2026",3.0,7,Y,Processed,L. Belingon,CTLA-LGD,2026,Q2 2026
WA-2026-100495,TA-4495-REG,TA,Philippines,Ministry of Energy ,Agriculture Value Chain Development,Multisector,SERD,"$50,385.06",USD,07-01-2025,"Jul 02, 2025",1.0,7,yes,Processed,M. Pastoral,CTLA-TA,2025,Q3 2025
WA-2025-100454,LN-4454-SF,Loan,NULL,  Urban Development Authority,Digital Government Transformation,Health,EARD,269275.33,USD,07-Apr-2025,"Apr 09, 2025",2 days,7,1,Processed,R. Dadufalza,CTLA-LGD,2025,Q2 2025
WA-2025-100084,GR-4084-REG,Grant,INDONESIA,  Ministry of Finance  ,Basic Education Sector Program,Education,SERD,318113.04,USD,"Mar 08, 2026",22-Mar-2026,14.0,7,N,Processed,R. Dadufalza,CTLA-LGD,2026,Q1 2026
WA-2025-100222,LN-4222-REG,Loan,BANGLADESH,  Ministry of Agriculture  ,Digital Government Transformation,Health,SARD,1144285.68,USD,15-Dec-2025,,N/A,7,N/A,Pending,R. Baluyot,CTLA-LGD,2025,Q4 2025
WA-2026-100011,LN-4011-MFF,Loan,Uzbekistan, Urban Development Authority  ,Small Business Support Facility,Transport,CWRD,"$80,097.46",USD,2025-03-26,27-Mar-2025,1.0,7,TRUE,Processed,S. Dhakal,CTLA-LGD,2025,Q1 2025
WA-2025-100396,GR-4396-REG,Grant,Nepal, Rural Electrification Agency,Climate Resilient Infrastructure,Multisector,SARD,"370,213.06",USD,04-Apr-2025,,pending,7,-,Pending,A. Asuncion,CTLA-LGD,2025,Q2 2025
WA-2026-100389,TA-4389-MFF,TA,Viet Nam,  Provincial Government  ,Agriculture Value Chain Development,"Agriculture, Food, Nature and Rural Development",SERD,47474.56,USD,03-05-2026,,,7,N/A,Pending,D. Nishimoto,CTLA-TA,2026,Q1 2026
WA-2026-100241,LN-4241-SF,Loan,Maldives, Ministry of ICT ,Financial Inclusion Program,Energy,SARD,"$4,512,020.42",USD,21-May-2026,31/05/2026,18 days,7,No,Processed,S. Dhakal,CTLA-LGD,2026,Q2 2026
WA-2025-100050,LN-4050-MFF,Loan,Fiji, Provincial Government,Coastal Protection Project,Finance,PARD,"74,551.80",USD,25-Aug-2025,,,7,,Under Review,M. Akram,CTLA-LGD,2025,Q3 2025
WA-2025-100040,TA-4040-SF,TA,Fiji,  National Housing Authority ,Small Business Support Facility,ICT,PARD,"2,129,485.25",USD,05-12-2026,31-May-2026,22.0,7,FALSE,Processed,R. Gallor,CTLA-TA,2026,Q2 2026
WA-2026-100265,GR-4265-SF,Grant,Pakistan,Ministry of Finance,Regional Trade Facilitation,Education,CWRD,41162.04,USD,08/05/2025,2025-05-09,1.0,7,1,Processed,D. Nishimoto,CTLA-LGD,2025,Q2 2025
WA-2025-100062,LN-4062-MFF,Loan,Pakistan,  Rural Electrification Agency,Financial Inclusion Program,Energy,CWRD,"USD 1,279,016.15",USD,2025-11-03,09/11/2025,6.0,7,Y,Processed,M. Rodriguez,CTLA-LGD,2025,Q4 2025
WA-2025-100430,GR-4430-SF,Grant,Maldives,  Ministry of Planning  ,Small Business Support Facility,Public Sector Management and Governance,SARD,"288,973.55",USD,10-03-2025,"Oct 08, 2025",5 days,7,TRUE,Processed,O. Orcas,CTLA-LGD,2025,Q4 2025
WA-2026-100277,LN-4277-SF,Loan,Fiji, Central Bank ,Coastal Protection Project,Finance,PARD,"USD 410,329.62",USD,16-Aug-2025,25-Aug-2025,9.0,7,FALSE,Processed,H.C. Park,CTLA-LGD,2025,Q3 2025
WA-2025-100442,GR-4442-SF,Grant,Tajikistan,Department of Social Welfare ,Sanitation Improvement Project,Finance,CWRD,116465.17,USD,10/09/2025,"Sep 15, 2025",5.0,7,yes,Processed,R. Gallor,CTLA-LGD,2025,Q3 2025
WA-2026-100313,TA-4313-SF,TA,Maldives,Department of Social Welfare ,Basic Education Sector Program,"Agriculture, Food, Nature and Rural Development",SARD,"USD 104,063.64",USD,22/08/2025,,pending,7,N/A,Pending,I. Mora,CTLA-TA,2025,Q3 2025
WA-2025-100016,LN-4016-SF,Loan, Philippines ,Urban Development Authority  ,Financial Inclusion Program,Water and Urban Development,SERD,"$61,916.47",USD,2025-12-06,,-,7,N/A,Pending,R. Dadufalza,CTLA-PMR,2025,Q4 2025
WA-2026-100233,TA-4233-MFF,TA,Philippines,  Ministry of Environment  ,Urban Water Supply Program,ICT,SERD,"$1,152,413.82",USD,28/02/2026,,pending,7,N/A,On Hold,I. Mora,CTLA-TA,2026,Q1 2026
WA-2025-100140,LN-4140-MFF,Loan,Sri Lanka,  National Water Utility  ,Renewable Energy Development,ICT,SARD,"$858,937.27",USD,26-May-2026,28-May-2026,2.0,7,yes,Processed,I. Mora,CTLA-LGD,2026,Q2 2026
WA-2025-100468,GR-4468-REG,Grant,Pakistan,  Municipal Development Fund  ,Climate Resilient Infrastructure,Education,CWRD,"$8,725,067.20",USD,08/01/2025,12/01/2025,N/A,7,Yes,Processed,I. Mora,CTLA-LGD,2025,Q1 2025
WA-2026-100349,LN-4349-SF,Loan,Mongolia,  Department of Health  ,Basic Education Sector Program,Energy,EARD,"USD 87,783.52",USD,"Jan 10, 2026",14/01/2026,4.0,7,Yes,Processed,D. Nishimoto,CTLA-PMR,2026,Q1 2026
WA-2025-100220,LN-4220-SF,Loan,Kazakhstan, Ministry of Planning  ,Coastal Protection Project,Water and Urban Development,CWRD,"$4,162,236.47",USD,03-Jun-2025,06-06-2025,3.0,7,Y,Processed,D. Nishimoto,CTLA-LGD,2025,Q2 2025
WA-2026-100297,GR-4297-REG,Grant,Myanmar, Department of Health,Sanitation Improvement Project,Education,SERD,"$849,405.24",USD,2026-04-03,2026-04-18,15.0,7,0,Processed,,CTLA-LGD,2026,Q2 2026
WA-2026-100053,LN-4053-MFF,Loan,Philippines,  Ministry of ICT ,Skills Development Program,Multisector,SERD,"52,918.34",USD,2025-02-12,,N/A,7,,On Hold,B. Kasilag,CTLA-PMR,2025,Q1 2025
WA-2026-100151,TA-4151-SF,TA,India, Ministry of Finance ,Basic Education Sector Program,Education,SARD,"$55,764.84",USD,"May 22, 2026",05-23-2026,1.0,7,Y,Processed,E. Lazaro,CTLA-TA,2026,Q2 2026
WA-2026-100399,LN-4399-REG,Loan,Mongolia,  Ministry of Transport,Financial Inclusion Program,Education,EARD,"2,500,087.39",USD,06-14-2025,2025-06-17,3.0,7,1,Processed,E. Lazaro,CTLA-LGD,2025,Q2 2025
WA-2025-100390,LN-4390-REG,Loan,Uzbekistan, Urban Development Authority  ,Rural Roads Improvement Project,NULL,CWRD,"USD 1,043,073.59",USD,31-Jan-2025,2025-02-20,20.0,7,No,Processed,R. Dadufalza,CTLA-LGD,2025,Q1 2025
WA-2025-100270,GR-4270-REG,Grant,NULL, Ministry of Environment  ,Rural Roads Improvement Project,Transport,SARD,"$58,169.03",USD,03-02-2025,05/03/2025,3.0,7,yes,Processed,D. Manurung,CTLA-LGD,2025,Q1 2025
WA-2025-100086,TA-4086-MFF,TA,Uzbekistan,  National Road Authority ,Girls Education Support Program,Health,CWRD,3515761.46,USD,05-Nov-2025,2025-11-07,2.0,7,Yes,Processed,M. Rodriguez,CTLA-TA,2025,Q4 2025
WA-2026-100393,LN-4393-REG,Loan,Myanmar,  Department of Health,Regional Trade Facilitation,Energy,SERD,"$311,202.26",USD,"May 15, 2025",05-16-2025,1.0,7,yes,Processed,I. Mora,CTLA-LGD,2025,Q2 2025
WA-2026-100365,GR-4365-MFF,Grant,Nepal,  Ministry of Energy  ,Health Sector Reform Project,Education,SARD,558396.13,USD,2025-06-14,16/06/2025,2.0,7,Y,Processed,D. Manurung,CTLA-LGD,2025,Q2 2025
WA-2026-100383,LN-4383-MFF,Loan,Nepal,  National Road Authority  ,Rural Roads Improvement Project,Multisector,SARD,"$1,241,658.27",USD,14-Apr-2025,04-21-2025,7.0,7,yes,Processed,L. Belingon,CTLA-LGD,2025,Q2 2025
WA-2025-100426,LN-4426-REG,Loan,Mongolia,National Road Authority,Sanitation Improvement Project,ICT,EARD,"$5,473,296.15",USD,01-Mar-2026,2026-03-05,4.0,7,Yes,Processed,O. Orcas,CTLA-LGD,2026,Q1 2026
WA-2025-100054,GR-4054-REG,Grant,Papua New Guinea, Ministry of Planning,Agriculture Value Chain Development,Water and Urban Development,PARD,1149769.74,USD,27-Aug-2025,,pending,7,na,Pending,R. Dadufalza,CTLA-LGD,2025,Q3 2025
WA-2025-100474,LN-4474-REG,Loan,Nepal,  Ministry of ICT ,Public Financial Management Reform,Multisector,SARD,"USD 1,008,449.15",USD,"Jan 20, 2026",08-Feb-2026,19.0,7,0,Processed,S. Dhakal,CTLA-LGD,2026,Q1 2026
WA-2025-100450,TA-4450-REG,TA,Uzbekistan,Urban Development Authority  ,Solar Power Generation Project,NULL,CWRD,"$52,451.65",USD,20/03/2026,27-Mar-2026,7.0,7,TRUE,Processed,D. Manurung,CTLA-TA,2026,Q1 2026
WA-2025-100274,LN-4274-SF,Loan,Philippines, Ministry of Transport,Flood Risk Management Project,Finance,SERD,374344.75,USD,05-08-2025,2025-05-11,3 days,7,Yes,Processed,R. Dadufalza,CTLA-PMR,2025,Q2 2025
WA-2025-100428,LN-4428-MFF,Loan,Nepal, Ministry of Finance,Smart City Development,Public Sector Management and Governance,SARD,"$102,729.42",USD,"Feb 07, 2025",02-19-2025,12.0,7,FALSE,Processed,N. Librada,CTLA-LGD,2025,Q1 2025
WA-2026-100223,LN-4223-SF,Loan,India,  Rural Electrification Agency ,Renewable Energy Development,Public Sector Management and Governance,SARD,"$111,244.38",USD,2026-01-30,,-,7,-,On Hold,O. Domagas,CTLA-LGD,2026,Q1 2026
WA-2025-100334,TA-4334-SF,TA,Viet nam,  Ministry of ICT ,Regional Trade Facilitation,Transport,SERD,"USD 92,859.48",USD,18-Apr-2025,04-24-2025,6.0,7,TRUE,Processed,B. Choi,CTLA-TA,2025,Q2 2025
WA-2025-100416,TA-4416-MFF,TA,Myanmar, Ministry of Finance ,Basic Education Sector Program,Transport,SERD,11527416.17,USD,06/01/2025,,,7,NA,Pending,L. Halliwell,CTLA-TA,2025,Q1 2025
WA-2025-100158,LN-4158-MFF,Loan,Bangladesh, National Housing Authority,Coastal Protection Project,Multisector,SARD,"USD 116,479.21",USD,"Jan 07, 2025",,,7,N/A,Under Review,N. Librada,CTLA-LGD,2025,Q1 2025
WA-2025-100268,LN-4268-SF,Loan,Nepal,  National Housing Authority ,Small Business Support Facility,Water and Urban Development,SARD,47911.24,USD,22/12/2025,25/12/2025,3.0,7,TRUE,Processed,O. Orcas,CTLA-LGD,2025,Q4 2025
WA-2025-100382,LN-4382-SF,Loan,Bangladesh,  Provincial Government  ,Regional Trade Facilitation,Water and Urban Development,SARD,"USD 35,774.28",USD,"May 06, 2026",,N/A,7,NA,On Hold,M. Akram,CTLA-LGD,2026,Q2 2026
WA-2026-100311,TA-4311-MFF,TA,Papua New Guinea, Ministry of Environment  ,Smart City Development,ICT,PARD,"$38,790.69",USD,09/01/2026,"Jan 10, 2026",1.0,7,Yes,Processed,I. Mora,CTLA-TA,2026,Q1 2026
WA-2026-100423,LN-4423-REG,Loan,Sri Lanka, National Water Utility ,Regional Trade Facilitation,"Agriculture, Food, Nature and Rural Development",SARD,"128,176.96",USD,13-Feb-2026,02-20-2026,7.0,7,Yes,Processed,N. Librada,CTLA-LGD,2026,Q1 2026
WA-2025-100310,LN-4310-SF,Loan,Maldives,  Ministry of Transport  ,Urban Water Supply Program,ICT,SARD,322635.17,USD,"Feb 06, 2026",10/02/2026,4.0,7,Yes,Processed,D. Nishimoto,CTLA-LGD,2026,Q1 2026
WA-2026-100393,LN-4393-REG,Loan,Myanmar,  Department of Health,Regional Trade Facilitation,Energy,SERD,"$311,202.26",USD,"May 15, 2025",05-16-2025,1.0,7,yes,Processed,I. Mora,CTLA-LGD,2025,Q2 2025
WA-2026-100275,GR-4275-MFF,Grant,Philippines, Department of Social Welfare  ,Sustainable Urban Transport,NULL,SERD,"$129,259.58",USD,2025-09-12,22/09/2025,10.0,7,FALSE,Processed,R. Baluyot,CTLA-LGD,2025,Q3 2025
WA-2026-100045,TA-4045-REG,TA,Maldives, Ministry of Energy ,Health Sector Reform Project,Health,SARD,"$287,486.61",USD,19/01/2025,26/01/2025,,7,1,Processed,N. Librada,CTLA-TA,2025,Q1 2025
WA-2026-100493,LN-4493-SF,Loan,Sri Lanka,Provincial Government  ,Agriculture Value Chain Development,Health,SARD,"USD 602,104.45",USD,10-27-2025,11-02-2025,6.0,7,Yes,Processed,R. Perez,CTLA-LGD,2025,Q4 2025
WA-2026-100119,LN-4119-MFF,Loan,Mongolia, Ministry of Energy,Regional Trade Facilitation,Energy,EARD,"USD 8,703,127.17",USD,07-23-2025,2025-07-27,,7,1,Processed,I. Mora,CTLA-LGD,2025,Q3 2025
WA-2025-100344,GR-4344-MFF,Grant,India, Department of Social Welfare,Renewable Energy Development,Education,SARD,"190,036.83",USD,03-30-2025,04-20-2025,21.0,7,0,Processed,M. Akram,CTLA-LGD,2025,Q1 2025
WA-2026-100191,LN-4191-MFF,Loan,Tajikistan,  Ministry of Energy,Regional Trade Facilitation,Energy,CWRD,6113613.45,USD,"Jun 07, 2025","Jun 12, 2025",5.0,7,TRUE,Processed,R. Dadufalza,CTLA-LGD,2025,Q2 2025
WA-2025-100116,LN-4116-MFF,Loan,India,  National Housing Authority ,Public Financial Management Reform,Energy,SARD,"$80,927.07",USD,02-Nov-2025,"Nov 05, 2025",3.0,7,Yes,Processed,M. Pastoral,CTLA-LGD,2025,Q4 2025
WA-2026-100337,LN-4337-SF,Loan,Sri Lanka,  Ministry of Environment ,Agriculture Value Chain Development,Multisector,SARD,76352.46,USD,"Dec 17, 2025",,N/A,7,-,Under Review,B. Kasilag,CTLA-LGD,2025,Q4 2025
WA-2025-100492,GR-4492-REG,Grant,Tajikistan,  Provincial Government ,Financial Inclusion Program,Multisector,CWRD,"$265,863.06",USD,11/10/2025,10-14-2025,3.0,7,TRUE,Processed,A. Asuncion,CTLA-LGD,2025,Q4 2025
WA-2025-100036,LN-4036-REG,Loan,Viet Nam,  National Road Authority ,Financial Inclusion Program,Multisector,SERD,"USD 2,276,372.52",USD,"Feb 16, 2025","Feb 23, 2025",7.0,7,Yes,Processed,M. Rodriguez,CTLA-LGD,2025,Q1 2025
WA-2025-100322,LN-4322-SF,Loan,Fiji, Ministry of Agriculture ,Girls Education Support Program,"Agriculture, Food, Nature and Rural Development",PARD,"$89,932.33",USD,21-Jan-2026,2026-01-22,1.0,7,TRUE,Processed,S. Dhakal,CTLA-LGD,2026,Q1 2026
WA-2026-100171,LN-4171-REG,Loan,Nepal,Department of Health  ,Solar Power Generation Project,"Agriculture, Food, Nature and Rural Development",SARD,"$585,695.49",USD,02-Feb-2025,,pending,7,NA,Pending,R. Baluyot,CTLA-LGD,2025,Q1 2025
WA-2026-100023,TA-4023-MFF,TA,Kazakhstan,National Water Utility,Regional Trade Facilitation,Education,CWRD,35155.55,USD,01-Jan-2026,"Jan 03, 2026",2.0,7,yes,Processed,R. Perez,CTLA-TA,2026,Q1 2026
WA-2026-100033,LN-4033-REG,Loan,NULL,Ministry of Education  ,Public Financial Management Reform,Transport,SARD,"USD 904,482.12",USD,"Jan 22, 2026",,pending,7,,Pending,D. Manurung,CTLA-PMR,2026,Q1 2026
WA-2026-100465,LN-4465-REG,Loan,Pakistan,  National Housing Authority ,Rural Roads Improvement Project,Transport,CWRD,"USD 52,394.89",USD,2026-05-02,2026-05-15,13.0,7,N,Processed,D. Manurung,CTLA-LGD,2026,Q2 2026
WA-2026-100203,TA-4203-MFF,TA,Pakistan,Ministry of Environment ,Solar Power Generation Project,"Agriculture, Food, Nature and Rural Development",CWRD,54092.04,USD,10/11/2025,24-Nov-2025,14.0,7,0,Processed,S. Dhakal,CTLA-TA,2025,Q4 2025
WA-2025-100282,LN-4282-REG,Loan,Cambodia,Ministry of Finance ,Smart City Development,NULL,SERD,2547833.62,USD,01-07-2026,12-Jan-2026,5.0,7,Yes,Processed,R. Dadufalza,CTLA-LGD,2026,Q1 2026
WA-2026-100229,TA-4229-SF,TA,Fiji,  National Road Authority,Basic Education Sector Program,Education,PARD,"$120,562.71",USD,08-29-2025,16-Sep-2025,18.0,7,0,Processed,R. Gallor,CTLA-TA,2025,Q3 2025
WA-2026-100039,TA-4039-REG,TA,Lao PDR, Municipal Development Fund,Rural Roads Improvement Project,Finance,SERD,1108623.66,USD,01-06-2025,2025-01-10,4.0,7,Yes,Processed,B. Choi,CTLA-TA,2025,Q1 2025
WA-2026-100067,LN-4067-SF,Loan,Papua New Guinea,Ministry of Agriculture  ,Health Sector Reform Project,Education,PARD,"USD 776,493.20",USD,03/01/2026,16/01/2026,13.0,7,N,Processed,M. Rodriguez,CTLA-LGD,2026,Q1 2026
WA-2025-100018,GR-4018-REG,Grant,Bhutan,  Department of Social Welfare  ,Sanitation Improvement Project,Education,SARD,8055551.52,USD,05-17-2026,2026-05-19,2.0,7,TRUE,Processed,I. Mora,CTLA-LGD,2026,Q2 2026
WA-2025-100044,TA-4044-MFF,TA,Papua New Guinea,Municipal Development Fund  ,Regional Trade Facilitation,Transport,PARD,105647.84,USD,12-Oct-2025,"Oct 18, 2025",6.0,7,yes,Processed,V. Sefesi,CTLA-TA,2025,Q4 2025
WA-2025-100360,TA-4360-REG,TA,Philippines,  Department of Health ,Renewable Energy Development,"Agriculture, Food, Nature and Rural Development",SERD,"1,068,691.47",USD,01-04-2026,01-09-2026,5.0,7,Yes,Processed,D. Manurung,CTLA-TA,2026,Q1 2026
WA-2025-100088,LN-4088-SF,Loan,Papua New Guinea,Central Bank,Skills Development Program,Health,PARD,52647.91,USD,09/05/2025,11/05/2025,2.0,7,Yes,Processed,E. Lazaro,CTLA-PMR,2025,Q2 2025
WA-2026-100323,TA-4323-MFF,TA,Kyrgyz Republic, Municipal Development Fund  ,Coastal Protection Project,Education,CWRD,227561.99,USD,"Dec 03, 2025",12-09-2025,6.0,7,yes,Processed,D. Manurung,CTLA-TA,2025,Q4 2025
WA-2026-100295,TA-4295-SF,TA,Papua New Guinea,  Department of Health ,Small Business Support Facility,NULL,PARD,"$1,156,510.80",USD,"Apr 23, 2025",2025-04-30,7.0,7,1,Processed,N. Librada,CTLA-TA,2025,Q2 2025
WA-2026-100035,LN-4035-MFF,Loan,Pakistan,  National Water Utility,Sanitation Improvement Project,ICT,CWRD,"$89,719.87",USD,17-Feb-2025,03-11-2025,22 days,7,no,Processed,E. Lazaro,CTLA-LGD,2025,Q1 2025
WA-2025-100414,LN-4414-REG,Loan,Fiji,National Water Utility  ,Agriculture Value Chain Development,Energy,PARD,"$1,126,600.58",USD,04-24-2026,2026-04-28,4.0,7,Yes,Processed,R. Gallor,CTLA-LGD,2026,Q2 2026
WA-2025-100012,LN-4012-REG,Loan,Maldives,Ministry of Education  ,Rural Roads Improvement Project,Transport,SARD,"$8,600,686.09",USD,05-11-2025,2025-05-14,3.0,7,yes,Processed,R. Dadufalza,CTLA-PMR,2025,Q2 2025
WA-2025-100122,LN-4122-MFF,Loan,Fiji,Ministry of Transport ,Public Financial Management Reform,ICT,PARD,"$2,413,036.56",USD,2025-06-17,,N/A,7,-,Pending,R. Perez,CTLA-LGD,2025,Q2 2025
